tick,flight_id,origin,destination,phase,altitude,delay
27,FL014,KEUG,KTTD,Landing,0,4
28,FL000,KTTD,KEUG,Landing,0,0
28,FL001,KPDX,KBFI,Landing,0,0
28,FL002,KPDX,KRNT,Landing,0,2
28,FL003,KGEG,KRNT,Landing,0,0
28,FL004,KRNT,KSEA,Landing,0,0
28,FL005,KEUG,KRNT,Landing,0,0
28,FL006,KPAE,KBOI,Landing,0,0
28,FL007,KSEA,KGEG,Landing,0,0
28,FL008,KSEA,KGEG,Landing,0,2
28,FL009,KEUG,KBFI,Landing,0,2
28,FL010,KGEG,KRNT,Landing,0,2
28,FL011,KGEG,KOLM,Approach,3000,4
28,FL012,KTTD,KBFI,Landing,0,2
28,FL013,KGEG,KTTD,Descent,15000,6
28,FL014,KEUG,KTTD,Landing,0,4
29,FL000,KTTD,KEUG,Landing,0,0
29,FL001,KPDX,KBFI,Landing,0,0
29,FL002,KPDX,KRNT,Landing,0,2
29,FL003,KGEG,KRNT,Landing,0,0
29,FL004,KRNT,KSEA,Landing,0,0
29,FL005,KEUG,KRNT,Landing,0,0
29,FL006,KPAE,KBOI,Landing,0,0
29,FL007,KSEA,KGEG,Landing,0,0
29,FL008,KSEA,KGEG,Landing,0,2
29,FL009,KEUG,KBFI,Landing,0,2
29,FL010,KGEG,KRNT,Landing,0,2
29,FL011,KGEG,KOLM,Approach,3000,4
29,FL012,KTTD,KBFI,Landing,0,2
29,FL013,KGEG,KTTD,Approach,3000,6
29,FL014,KEUG,KTTD,Landing,0,4
tick,flight_id,origin,destination,phase,altitude,delay
0,FL000,KRNT,KBFI,Queued,0,0
0,FL001,KPAE,KGEG,Queued,0,0
0,FL002,KOLM,KSEA,Queued,0,0
0,FL003,KEUG,KSEA,Queued,0,0
0,FL004,KSEA,KEUG,Queued,0,0
0,FL005,KEUG,KTTD,Queued,0,0
0,FL006,KRNT,KTTD,Queued,0,0
0,FL007,KEUG,KTTD,Queued,0,0
0,FL008,KBOI,KTTD,Queued,0,0
0,FL009,KBFI,KPDX,Queued,0,0
0,FL010,KRNT,KBOI,Queued,0,0
0,FL011,KTTD,KPDX,Queued,0,0
1,FL000,KRNT,KBFI,Takeoff,0,0
1,FL001,KPAE,KGEG,Takeoff,0,0
1,FL002,KOLM,KSEA,Takeoff,0,0
1,FL003,KEUG,KSEA,Takeoff,0,0
1,FL004,KSEA,KEUG,Takeoff,0,0
